,age,fnlwgt,education.num,capitalGain,capitalLoss,hoursPerWeek
0,82,132870,0.009000000000000001,0,4356,18
1,54,140359,0.004,0,3900,40
2,41,264663,0.01,0,3900,40
3,34,216864,0.009000000000000001,0,3770,45
4,38,150601,0.006,0,3770,40
5,74,88638,0.016,0,3683,20
6,68,422013,0.009000000000000001,0,3683,40
7,45,172274,0.016,0,3004,35
8,38,164526,0.015,0,2824,45
9,52,129177,0.013000000000000001,0,2824,20
10,32,136204,0.014,0,2824,55
11,46,45363,0.015,0,2824,40
12,45,172822,0.007,0,2824,76
13,57,317847,0.014,0,2824,50
14,34,203034,0.013000000000000001,0,2824,50
15,37,188774,0.013000000000000001,0,2824,40
16,29,77009,0.007,0,2754,42
17,61,29059,0.009000000000000001,0,2754,25
18,51,153870,0.01,0,2603,40
19,21,34310,0.011,0,2603,40
20,33,228696,0.002,0,2603,32
21,49,122066,0.003,0,2603,40
22,37,107164,0.006,0,2559,50
23,38,175360,0.006,0,2559,90
24,23,44064,0.01,0,2559,40
25,59,107287,0.006,0,2559,50
26,52,198863,0.015,0,2559,60
27,51,123011,0.013000000000000001,0,2559,50
28,60,205246,0.009000000000000001,0,2559,50
29,63,39181,0.016,0,2559,60
30,53,149650,0.009000000000000001,0,2559,48
31,51,197163,0.015,0,2559,50
32,37,137527,0.016,0,2559,60
33,54,161691,0.014,0,2559,40
34,44,326232,0.013000000000000001,0,2547,50
35,43,115806,0.014,0,2547,40
36,51,115066,0.01,0,2547,40
37,43,289669,0.014,0,2547,40
38,48,121253,0.013000000000000001,0,2472,70
39,71,110380,0.009000000000000001,0,2467,52
40,73,233882,0.009000000000000001,0,2457,40
41,40,335549,0.015,0,2444,45
42,50,237729,0.009000000000000001,0,2444,72
43,51,68898,0.011,0,2444,39
44,42,107276,0.01,0,2444,40
45,39,141584,0.014,0,2444,45
46,32,207668,0.013000000000000001,0,2444,50
47,53,313243,0.01,0,2444,45
48,40,147372,0.01,0,2444,40
49,38,237608,0.013000000000000001,0,2444,45
50,33,194901,0.011,0,2444,42
51,43,155106,0.012,0,2444,70
52,50,121441,0.007,0,2444,40
53,44,162028,0.01,0,2415,6
54,51,160724,0.013000000000000001,0,2415,40
55,41,132222,0.015,0,2415,40
56,37,329980,0.014,0,2415,60
57,55,124137,0.015,0,2415,35
58,39,329980,0.013000000000000001,0,2415,60
59,42,187702,0.015,0,2415,60
60,49,199029,0.013000000000000001,0,2415,55
61,47,145290,0.009000000000000001,0,2415,50
62,41,297248,0.015,0,2415,45
63,55,227856,0.013000000000000001,0,2415,50
64,39,179731,0.014,0,2415,65
65,42,154374,0.013000000000000001,0,2415,60
66,46,326857,0.014,0,2415,65
67,40,160369,0.014,0,2415,45
68,32,396745,0.013000000000000001,0,2415,48
69,41,151089,0.01,0,2415,55
70,60,336188,0.015,0,2415,80
71,31,279015,0.014,0,2415,70
72,58,43221,0.01,0,2415,40
73,37,30529,0.013000000000000001,0,2415,50
74,44,201742,0.013000000000000001,0,2415,50
75,55,298449,0.013000000000000001,0,2415,50
76,44,191712,0.014,0,2415,55
77,39,198654,0.015,0,2415,67
78,46,102308,0.013000000000000001,0,2415,40
79,39,348521,0.01,0,2415,99
80,62,56248,0.013000000000000001,0,2415,60
81,31,252752,0.009000000000000001,0,2415,40
82,46,192963,0.013000000000000001,0,2415,35
83,46,198759,0.015,0,2415,80
84,39,143123,0.011,0,2415,40
85,39,237713,0.015,0,2415,99
86,59,81929,0.016,0,2415,45
87,50,167793,0.015,0,2415,60
88,46,456062,0.016,0,2415,55
89,53,105478,0.013000000000000001,0,2415,40
90,50,42402,0.015,0,2415,30
91,41,114580,0.015,0,2415,55
92,36,346478,0.013000000000000001,0,2415,45
93,38,187870,0.015,0,2415,90
94,54,35576,0.01,0,2415,50
95,50,102346,0.013000000000000001,0,2415,20
96,47,148995,0.013000000000000001,0,2415,60
97,47,102308,0.015,0,2415,45
98,67,105252,0.013000000000000001,0,2392,40
99,67,106175,0.013000000000000001,0,2392,75
100,72,52138,0.016,0,2392,25
101,46,191978,0.014,0,2392,50
102,78,188044,0.013000000000000001,0,2392,40
103,71,66624,0.013000000000000001,0,2392,60
104,83,153183,0.013000000000000001,0,2392,55
105,68,211287,0.014,0,2392,40
106,26,181655,0.011,0,2377,45
107,68,235882,0.016,0,2377,60
108,49,158685,0.009000000000000001,0,2377,40
109,36,370767,0.009000000000000001,0,2377,60
110,70,155141,0.013000000000000001,0,2377,12
111,27,156516,0.01,0,2377,20
112,35,177305,0.01,0,2377,40
113,23,162945,0.009000000000000001,0,2377,40
114,81,177408,0.009000000000000001,0,2377,26
115,66,427422,0.016,0,2377,25
116,71,152307,0.009000000000000001,0,2377,45
117,68,218637,0.01,0,2377,55
118,52,222405,0.009000000000000001,0,2377,40
119,40,110862,0.012,0,2377,50
120,21,377931,0.01,0,2377,48
121,35,192923,0.009000000000000001,0,2377,40
122,70,207938,0.013000000000000001,0,2377,50
123,61,36671,0.009000000000000001,0,2352,50
124,65,81413,0.009000000000000001,0,2352,65
125,46,214955,0.003,0,2339,45
126,26,166295,0.013000000000000001,0,2339,55
127,59,147707,0.009000000000000001,0,2339,40
128,61,43554,0.003,0,2339,40
129,60,358893,0.013000000000000001,0,2339,40
130,49,141058,0.01,0,2339,50
131,25,77071,0.013000000000000001,0,2339,35
132,59,171328,0.009000000000000001,0,2339,40
133,28,381789,0.01,0,2339,40
134,56,346635,0.014,0,2339,60
135,41,162140,0.009000000000000001,0,2339,40
136,42,191765,0.009000000000000001,0,2339,40
137,28,251905,0.015,0,2339,40
138,40,33310,0.015,0,2339,35
139,69,228921,0.013000000000000001,0,2282,40
140,66,36364,0.009000000000000001,0,2267,40
141,69,124930,0.003,0,2267,40
142,55,176046,0.014,0,2267,40
143,57,370890,0.009000000000000001,0,2258,40
144,20,157145,0.01,0,2258,10
145,33,288825,0.009000000000000001,0,2258,84
146,30,257295,0.01,0,2258,40
147,40,287983,0.013000000000000001,0,2258,48
148,38,101978,0.01,0,2258,55
149,46,192779,0.012,0,2258,38
150,29,135296,0.013000000000000001,0,2258,45
151,57,199114,0.013000000000000001,0,2258,40
152,39,156897,0.009000000000000001,0,2258,42
153,47,138107,0.013000000000000001,0,2258,40
154,26,279833,0.013000000000000001,0,2258,45
155,27,208577,0.009000000000000001,0,2258,50
156,23,102942,0.013000000000000001,0,2258,40
157,34,36385,0.014,0,2258,50
158,33,176185,0.008,0,2258,42
159,38,162613,0.014,0,2258,60
160,57,121362,0.01,0,2258,38
161,36,145933,0.009000000000000001,0,2258,70
162,44,29591,0.013000000000000001,0,2258,40
163,49,269417,0.016,0,2258,50
164,44,178510,0.01,0,2258,60
165,55,41108,0.01,0,2258,62
166,45,187901,0.009000000000000001,0,2258,44
167,48,175070,0.009000000000000001,0,2258,40
168,31,263561,0.013000000000000001,0,2246,45
169,55,99131,0.009000000000000001,0,2246,40
170,70,143833,0.01,0,2246,40
171,70,124449,0.014,0,2246,8
172,73,336007,0.013000000000000001,0,2246,40
173,72,285408,0.015,0,2246,28
174,31,327825,0.009000000000000001,0,2238,40
175,28,129460,0.006,0,2238,35
176,23,258298,0.013000000000000001,0,2231,40
177,49,102359,0.005,0,2231,40
178,27,92431,0.01,0,2231,40
179,90,51744,0.009000000000000001,0,2206,40
180,68,166149,0.009000000000000001,0,2206,30
181,65,149811,0.009000000000000001,0,2206,59
182,67,118363,0.013000000000000001,0,2206,5
183,66,362165,0.013000000000000001,0,2206,25
184,24,379066,0.01,0,2205,24
185,44,171424,0.01,0,2205,35
186,35,108293,0.01,0,2205,40
187,20,107801,0.012,0,2205,18
188,38,126675,0.009000000000000001,0,2205,40
189,39,155603,0.01,0,2205,40
190,32,27882,0.01,0,2205,40
191,42,242564,0.004,0,2205,40
192,42,23510,0.014,0,2201,60
193,64,181232,0.007,0,2179,40
194,28,166481,0.004,0,2179,40
195,41,139916,0.011,0,2179,84
196,41,144594,0.004,0,2179,40
197,58,266707,0.002,0,2179,18
198,59,303176,0.01,0,2179,40
199,34,56460,0.009000000000000001,0,2179,12
200,45,167523,0.009000000000000001,0,2179,45
201,29,119004,0.009000000000000001,0,2179,40
202,47,175925,0.006,0,2179,52
203,40,212847,0.01,0,2179,40
204,47,191175,0.003,0,2179,50
205,41,170214,0.009000000000000001,0,2179,40
206,34,180714,0.01,0,2179,40
207,65,111483,0.01,0,2174,10
208,70,282642,0.009000000000000001,0,2174,40
209,75,309955,0.015,0,2174,50
210,65,215908,0.009000000000000001,0,2174,40
211,65,23494,0.01,0,2174,40
212,73,147551,0.01,0,2174,50
213,68,116903,0.011,0,2149,40
214,74,119129,0.009000000000000001,0,2149,20
215,19,342384,0.007,0,2129,55
216,37,68899,0.009000000000000001,0,2129,40
217,45,207107,0.012,0,2080,40
